displayName,Earnings,Cup,Evnts,Rnds,Cuts,Top10,Wins,Score,DDIS,DACC,GIR,PUTTS,SAND,BIRDS,is_qualified,Earnings_per_event,Points_per_event,Top10_per_event,Wins_per_event
Adam Schenk,1803965,584,18,61,12,1,0,70.4,304.5,53.5,66.0,1.808,0.0,50.9,True,100220.27777777778,32.44444444444444,0.05555555555555555,0.0
Andrew Putnam,2314939,679,17,57,13,3,0,69.5,283.1,63.0,68.7,1.755,0.0,61.7,True,136172.88235294117,39.94117647058823,0.17647058823529413,0.0
Brendon Todd,1742013,522,14,47,9,3,0,69.9,280.7,66.7,65.5,1.717,0.0,59.7,True,124429.5,37.285714285714285,0.21428571428571427,0.0
Brian Harman,8816347,739,69,234,54,13,0,69.8,292.46666666666664,67.16666666666667,66.63333333333333,1.7550000000000001,0.0,59.96666666666667,True,127773.14492753622,10.710144927536232,0.18840579710144928,0.0
Collin Morikawa,15965913,860,53,174,43,20,2,69.60000000000001,296.53333333333336,68.7,69.96666666666665,1.7436666666666667,0.0,52.300000000000004,True,301243.641509434,16.22641509433962,0.37735849056603776,0.03773584905660377
Denny McCarthy,4693126,480,45,154,35,7,0,69.69999999999999,293.3,61.85,65.9,1.7405,0.0,55.35,True,104291.6888888889,10.666666666666666,0.15555555555555556,0.0
Harris English,9063496,536,43,145,33,10,2,70.0,296.85,62.5,64.75,1.742,0.0,49.3,True,210778.97674418605,12.465116279069768,0.23255813953488372,0.046511627906976744
Hayden Buckley,1836289,594,14,44,8,3,0,69.8,304.5,64.4,69.4,1.755,0.0,45.6,True,131163.5,42.42857142857143,0.21428571428571427,0.0
Jordan Spieth,14858548,628,58,198,47,19,2,69.86666666666667,303.3,55.13333333333333,66.13333333333334,1.7286666666666666,0.0,56.36666666666667,True,256181.8620689655,10.827586206896552,0.3275862068965517,0.034482758620689655
Justin Thomas,15326162,377,53,194,48,19,2,69.60000000000001,307.6333333333333,55.96666666666667,66.93333333333334,1.7296666666666667,0.0,60.76666666666667,True,289172.8679245283,7.113207547169812,0.3584905660377358,0.03773584905660377
Keith Mitchell,5093720,450,40,134,32,9,0,69.7,310.85,63.75,67.25,1.75,0.0,54.7,True,127343.0,11.25,0.225,0.0
Patrick Cantlay,21172810,821,53,176,45,23,6,69.10000000000001,306.3666666666667,62.43333333333334,70.56666666666666,1.737,0.0,53.53333333333333,True,399486.9811320755,15.49056603773585,0.4339622641509434,0.11320754716981132
Rickie Fowler,3209972,741,12,42,11,4,0,69.6,305.5,57.7,69.4,1.707,0.0,44.0,True,267497.6666666667,61.75,0.3333333333333333,0.0
Sahith Theegala,6899820,869,47,167,40,11,0,69.95,302.4,54.55,67.05,1.733,0.0,51.3,True,146804.68085106384,18.48936170212766,0.23404255319148937,0.0
Taylor Montgomery,2382435,783,16,56,14,4,0,69.3,304.9,55.0,62.8,1.646,0.0,52.5,True,148902.1875,48.9375,0.25,0.0
Taylor Moore,2825077,865,16,55,11,1,1,70.4,301.2,57.4,65.6,1.79,0.0,48.2,True,176567.3125,54.0625,0.0625,0.0625
Tom Hoge,8109202,755,48,146,30,10,1,69.55000000000001,296.15,63.150000000000006,68.25,1.729,0.0,52.05,True,168941.70833333334,15.729166666666666,0.20833333333333334,0.020833333333333332
Tony Finau,15456084,976,63,214,52,18,4,69.43333333333334,304.96666666666664,58.4,69.53333333333333,1.7296666666666667,0.0,55.06666666666666,True,245334.66666666666,15.492063492063492,0.2857142857142857,0.06349206349206349
Wyndham Clark,1948049,535,15,56,13,4,0,69.7,313.0,54.0,67.9,1.734,0.0,52.8,True,129869.93333333333,35.666666666666664,0.26666666666666666,0.0
Xander Schauffele,15608924,617,53,181,47,20,3,69.39999999999999,305.3,59.43333333333334,69.2,1.7266666666666666,0.0,61.1,True,294508.0,11.641509433962264,0.37735849056603776,0.05660377358490566
